Date,Close
2017-12-30,600.0
2017-12-31,600.0594029850383
2018-01-01,600.0870050397291
2018-01-02,600.0543478883123
2018-01-03,599.9908994082039
2018-01-04,599.8849636774372
2018-01-05,599.9215183055816
2018-01-06,599.9828350898828
2018-01-07,599.9720038336234
2018-01-08,600.0139663585937
2018-01-09,599.8971848124907
2018-01-10,599.9285264911127
2018-01-11,599.8339811140513
2018-01-12,599.9272715949169
2018-01-13,599.9869113246417
2018-01-14,600.0171485206288
2018-01-15,599.9558133777113
2018-01-16,599.9031706212081
2018-01-17,599.9262029931448
2018-01-18,599.9641806082628
2018-01-19,599.9047061736301
2018-01-20,599.9220983667547
2018-01-21,599.8874658444681
2018-01-22,599.8962197189599
2018-01-23,599.9164585160488
2018-01-24,599.8447455332993
2018-01-25,599.8865101073693
2018-01-26,599.9112308490036
2018-01-27,599.9864157536248
2018-01-28,600.1250558972891
2018-01-29,600.0704699916414
2018-01-30,600.0604858765457
2018-01-31,600.0192985986448
2018-02-01,600.0393201083356
2018-02-02,600.0361978550451
2018-02-03,599.9486266580295
2018-02-04,600.0277819651685
2018-02-05,599.8858029265772
2018-02-06,599.8003195034908
2018-02-07,599.8253200981646
2018-02-08,599.8708810889971
2018-02-09,599.8925691741
2018-02-10,599.87189036454
2018-02-11,599.8217876028582
2018-02-12,599.7570972881751
2018-02-13,599.7237249439947
2018-02-14,599.5822378124021
2018-02-15,599.571563959171
2018-02-16,599.4256374539303
2018-02-17,599.3946320037509
2018-02-18,599.424568105845
2018-02-19,599.459085610124
2018-02-20,599.5260239809572
2018-02-21,599.5403202291561
2018-02-22,599.5500386831511
2018-02-23,599.5819952619349
2018-02-24,599.6391927973907
2018-02-25,599.6114868253859
2018-02-26,599.6051017230956
2018-02-27,599.6278529644683
2018-02-28,599.6441030921476
2018-03-01,599.6943952884078
2018-03-02,599.7304272402702
2018-03-03,599.7013366171392
2018-03-04,599.753713308884
2018-03-05,599.7685902324524
2018-03-06,599.8073614102834
2018-03-07,599.7730555528332
2018-03-08,599.7650303594752
2018-03-09,599.7990556039057
2018-03-10,599.8491580268847
2018-03-11,599.8851214745904
2018-03-12,599.8493478394362
2018-03-13,599.8475750115241
2018-03-14,599.7675528562834
2018-03-15,599.8005432908224
2018-03-16,599.8127261579625
